a	37	0.0313682500	0.0414844308
abandoned	1	0.0003903000	0.0048814884
abducted	1	0.0002516000	0.0046803136
ability	1	0.0002754500	-0.0051781316
able	1	0.0005764500	0.0068953167
about	19	0.0052846250	0.0085059260
above	2	0.0012330250	-0.0048477441
absence	1	0.0007218500	-0.0149809273
absolutely	1	0.0007314750	0.0113331821
absorb	0	0.0000000000	0.0000000000
abstract	0	0.0000000000	0.0000000000
absurd	1	0.0019376250	-0.0278137586
abuse	3	0.0008455750	0.0161113824
abused	1	0.0002516000	0.0046803136
academy	1	0.0003408250	0.0070685758
accent	1	0.0008772750	-0.0168361329
accepted	0	0.0000000000	0.0000000000
accepts	0	0.0000000000	0.0000000000
access	0	0.0000000000	0.0000000000
acclaimed	1	0.0003306750	0.0051084588
accomplice	1	0.0001419250	0.0003730226
according	1	0.0003306750	0.0051084588
accountant	0	0.0000000000	0.0000000000
accrued	1	0.0003903000	0.0048814884
accumulated	1	0.0002516000	0.0046803136
accurate	1	0.0016483750	-0.0307628482
accusations	1	0.0010619000	-0.0166041122
accused	1	0.0007363250	0.0130443990
accuses	0	0.0000000000	0.0000000000
achieve	1	0.0010419250	0.0009060697
achievement	0	0.0000000000	0.0000000000
achieving	1	0.0006347250	0.0075923842
acquainted	1	0.0003357500	0.0083780427
acquaints	1	0.0003357500	0.0083780427
across	2	0.0013255500	0.0004101977
act	0	0.0000000000	0.0000000000
acted	0	0.0000000000	0.0000000000
acting	5	0.0015963750	0.0224751320
action	4	0.0023996750	-0.0019610093
actions	1	0.0006347250	0.0075923842
actor	2	0.0009842000	0.0161564454
actors	4	0.0023482000	-0.0226651201
actress	3	0.0016099500	0.0093314236
actresses	5	0.0023069750	-0.0215582157
acts	0	0.0000000000	0.0000000000
actual	2	0.0007213750	0.0118093229
actually	8	0.0026734500	-0.0027457755
add	1	0.0001196500	0.0003144771
added	1	0.0005693250	0.0078311832
additional	0	0.0000000000	0.0000000000
adds	1	0.0004538750	0.0126768419
admit	1	0.0003544750	0.0044334246
adopted	1	0.0002516000	0.0046803136
adoptive	2	0.0008174000	0.0117520681
adopts	0	0.0000000000	0.0000000000
ads	1	0.0004997500	0.0139581420
adult	1	0.0006102000	-0.0049359133
adults	1	0.0007889000	0.0038314257
adventure	1	0.0001419250	0.0003730226
affect	2	0.0012387000	-0.0047886514
affected	1	0.0002754500	-0.0051781316
affectionate	0	0.0000000000	0.0000000000
affects	1	0.0010419250	0.0009060697
affluence	1	0.0002754500	-0.0051781316
afraid	1	0.0003377250	-0.0026396717
after	6	0.0025377750	-0.0167565452
again	2	0.0007923500	0.0080255722
against	0	0.0000000000	0.0000000000
age	1	0.0007889000	0.0038314257
aggravates	1	0.0008002750	-0.0100707804
ago	1	0.0003834500	-0.0052703619
agree	1	0.0010619000	-0.0166041122
agreements	1	0.0002516000	0.0050698684
ahead	1	0.0003834500	-0.0052703619
aids	3	0.0007825500	0.0169691492
ailments	1	0.0003306750	0.0051084588
air	2	0.0010698750	-0.0031275760
aires	0	0.0000000000	0.0000000000
airline	1	0.0001419250	0.0003730226
airport	1	0.0017034750	0.0044772571
airwaves	1	0.0002516000	0.0046803136
alice	0	0.0000000000	0.0000000000
alida	0	0.0000000000	0.0000000000
aliens	0	0.0000000000	0.0000000000
alive	0	0.0000000000	0.0000000000
all	15	0.0049416500	0.0300582949
allen	3	0.0050797000	-0.0779112384
alluring	0	0.0000000000	0.0000000000
almost	4	0.0012098500	0.0019308311
alone	0	0.0000000000	0.0000000000
along	2	0.0003135750	-0.0036101699
already	1	0.0002285000	0.0046043916
alright	1	0.0001419250	0.0003730226
also	8	0.0037640500	0.0257478243
although	2	0.0007556750	-0.0106949869
always	0	0.0000000000	0.0000000000
am	1	0.0001289000	0.0003387889
amazement	1	0.0006347250	-0.0131733591
amazing	0	0.0000000000	0.0000000000
ameche	0	0.0000000000	0.0000000000
american	2	0.0007985000	0.0049612266
americanized	1	0.0007462750	0.0109007462
americans	0	0.0000000000	0.0000000000
amid	1	0.0002754500	-0.0051781316
among	1	0.0003408250	0.0070685758
amoral	0	0.0000000000	0.0000000000
amount	1	0.0003608000	0.0101674541
amuse	1	0.0006347250	0.0075923842
amusing	1	0.0006102000	-0.0049359133
an	22	0.0072829000	-0.0308748239
and	38	0.0230380000	0.0172238930
anderson	3	0.0007739750	0.0153163013
anger	1	0.0003067250	-0.0023973745
angie	2	0.0027368500	-0.0417013070
angles	2	0.0021404500	-0.0000276964
angry	0	0.0000000000	0.0000000000
angst	2	0.0018038000	-0.0303365819
angular	1	0.0002754500	-0.0051781316
animated	0	0.0000000000	0.0000000000
ann	4	0.0017058000	0.0262369544
anna	2	0.0006078500	0.0084224240
annoying	0	0.0000000000	0.0000000000
another	4	0.0016798000	0.0098838824
answer	0	0.0000000000	0.0000000000
anthony	1	0.0003408250	0.0070685758
anti	1	0.0013693500	-0.0307805089
anticipate	1	0.0002516000	0.0046803136
any	6	0.0017915500	-0.0038332961
anybody	1	0.0007777500	-0.0056041827
